id,customer_id,datetime
1,1,2019-03-10 03:15:17
2,2,2019-03-10 03:16:14
3,1,2019-03-10 03:17:24
4,62,2016-10-30 10:08:41
5,95,2016-10-30 10:13:03
6,65,2016-10-30 10:16:55
7,35,2016-10-30 10:19:12
8,28,2016-10-30 10:20:51
9,113,2016-10-30 10:21:59
10,66,2016-10-30 10:25:58
11,84,2016-10-30 10:27:21
12,19,2016-10-30 10:30:14
13,116,2016-10-30 10:31:24
14,70,2016-10-30 10:32:46
15,18,2016-10-30 10:34:36
16,79,2016-10-30 10:37:08
17,17,2016-10-30 10:38:04
18,17,2016-10-30 10:41:56
19,27,2016-10-30 10:43:08
20,2,2016-10-30 10:45:22
21,63,2016-10-30 10:49:29
22,89,2016-10-30 10:52:15
23,71,2016-10-30 10:53:49
24,39,2016-10-30 10:54:33
25,61,2016-10-30 10:55:22
26,34,2016-10-30 10:56:08
27,71,2016-10-30 11:02:19
28,75,2016-10-30 11:03:24
29,73,2016-10-30 11:05:30
30,41,2016-10-30 11:07:19
31,64,2016-10-30 11:12:56
32,44,2016-10-30 11:16:15
33,25,2016-10-30 11:22:49
34,114,2016-10-30 11:25:45
35,3,2016-10-30 11:27:34
36,104,2016-10-30 11:33:08
37,97,2016-10-30 11:37:10
38,113,2016-10-30 11:42:40
39,36,2016-10-30 11:44:31
40,2,2016-10-30 11:55:51
41,74,2016-10-30 11:57:06
42,72,2016-10-30 11:57:45
43,87,2016-10-30 12:00:22
44,2,2016-10-30 12:05:47
45,22,2016-10-30 12:08:36
46,64,2016-10-30 12:09:04
47,35,2016-10-30 12:15:29
48,53,2016-10-30 12:17:02
49,20,2016-10-30 12:23:01
50,92,2016-10-30 12:25:11
51,76,2016-10-30 12:26:58
52,116,2016-10-30 12:28:07
54,21,2016-10-30 12:33:08
55,77,2016-10-30 12:38:06
56,9,2016-10-30 12:39:27
57,117,2016-10-30 12:45:48
58,2,2016-10-30 12:59:29
59,93,2016-10-30 13:02:04
60,116,2016-10-30 13:14:04
61,64,2016-10-30 13:15:38
62,112,2016-10-30 13:24:00
63,2,2016-10-30 13:33:12
64,23,2016-10-30 13:34:07
65,26,2016-10-30 13:37:25
66,50,2016-10-30 13:40:20
67,48,2016-10-30 13:46:48
68,112,2016-10-30 13:49:36
69,94,2016-10-30 13:51:49
70,112,2016-10-30 13:54:42
71,119,2016-10-30 13:56:08
72,57,2016-10-30 14:21:38
73,94,2016-10-30 14:22:39
