id,item_id,transaction_id
1,1,1
2,1,1
3,2,1
4,3,2
5,2,2
6,3,3
7,1,3
8,10,5
9,11,5
10,4,5
11,12,6
12,11,6
13,9,6
14,12,7
15,11,7
16,10,7
17,13,7
18,11,8
19,4,8
20,4,9
21,9,9
22,5,10
23,12,10
24,4,11
25,12,11
26,4,11
27,14,11
28,7,12
29,10,12
30,15,12
31,11,12
32,13,12
33,16,13
34,4,13
35,10,13
36,4,14
37,12,14
38,11,14
39,14,15
40,14,15
41,17,15
42,5,15
43,4,16
44,12,16
45,10,16
46,6,17
47,18,18
48,18,19
49,4,19
50,4,20
51,12,20
52,10,21
53,10,21
54,12,21
55,4,21
56,7,22
57,5,23
58,9,23
59,4,24
60,5,25
61,19,26
62,5,27
63,10,28
64,4,28
65,4,29
66,7,29
67,14,29
68,4,30
69,16,31
70,5,32
71,9,32
72,10,33
73,10,34
74,9,34
75,9,35
76,5,35
77,13,36
78,4,36
79,10,37
80,4,37
81,14,37
82,4,38
83,13,38
84,5,39
85,20,40
86,14,40
87,15,40
88,10,40
89,9,40
90,5,41
91,4,42
92,13,42
93,5,43
94,19,43
95,10,44
96,12,44
97,10,45
98,6,45
99,12,45
100,10,46
101,21,47
102,20,47
103,4,47
104,9,47
105,7,47
106,10,48
107,10,49
108,10,49
109,12,49
110,4,50
111,22,50
112,4,51
113,5,52
114,4,54
115,23,55
116,10,55
117,13,55
118,24,55
119,10,56
120,23,56
121,5,57
122,22,58
123,6,58
124,13,58
125,25,58
126,13,59
127,14,59
128,8,60
129,10,60
130,20,60
131,10,60
132,10,61
133,26,62
134,24,62
135,24,62
136,10,62
137,27,62
138,10,62
139,10,63
140,28,64
141,14,65
142,15,65
143,29,65
144,13,65
145,10,65
146,24,66
147,23,66
148,17,66
149,24,67
150,14,67
151,17,67
152,9,67
153,23,68
154,10,68
155,13,68
156,5,68
157,30,68
158,4,69
159,13,69
160,22,69
161,19,70
162,9,71
163,10,72
164,4,72
165,4,73
166,10,74
167,4,74
168,14,75
169,7,75
170,23,75
171,10,76
172,5,77
173,19,78
174,19,79
175,13,79
176,10,79
177,9,79
178,23,80
179,4,80
180,10,80
181,10,81
182,28,81
183,15,82
184,14,82
185,4,82
186,10,83
187,4,83
188,4,84
189,10,85
190,10,85
191,11,85
192,12,85
193,20,86
194,4,87
195,10,88
196,10,88
197,7,88
198,4,89
199,4,90
200,10,90
201,13,91
202,14,91
203,10,92
204,4,93
205,31,93
206,10,94
207,10,94
208,13,95
209,11,95
210,18,95
211,11,96
212,11,96
213,10,96
214,20,96
215,10,97
216,11,97
217,20,97
218,18,98
219,11,99
220,11,99
221,10,99
222,4,99
223,4,100
224,10,101
225,11,101
226,18,102
227,14,103
228,4,103
229,10,104
230,10,104
231,12,104
232,9,104
233,10,104
234,10,105
235,13,105
236,14,105
237,28,105
238,10,106
239,10,106
240,11,106
241,11,106
242,10,107
243,13,107
244,18,108
245,9,108
246,4,109
247,9,109
248,11,109
249,11,110
250,10,111
251,10,112
252,10,113
253,28,113
254,18,114
255,4,115
256,10,116
257,8,117
258,28,117
259,10,117
260,32,117
261,8,118
262,8,118
263,13,118
264,11,118
265,10,119
266,10,119
267,9,119
268,18,120
269,10,121
270,4,121
271,8,122
272,7,123
273,14,123
274,10,123
275,10,123
276,20,123
277,10,124
278,25,124
279,13,125
280,10,126
281,7,126
282,18,127
283,14,128
284,15,128
285,10,128
286,13,128
287,10,129
288,10,129
289,28,129
290,10,130
291,10,130
292,9,130
293,4,131
294,10,131
295,13,132
296,20,132
297,26,132
298,8,132
299,24,133
300,25,133
301,24,134
302,13,134
303,18,134
304,4,135
305,13,136
306,25,136
307,18,137
308,25,138
309,24,138
310,10,138
311,4,139
312,9,139
313,24,139
314,10,140
315,10,140
316,8,140
317,4,141
318,13,142
319,9,142
320,13,143
321,25,144
322,24,144
323,10,145
324,13,145
325,33,145
326,34,146
327,15,147
328,10,147
329,19,148
330,10,148
331,10,148
332,10,149
333,4,150
334,31,151
335,25,151
336,9,152
337,13,153
338,10,153
339,8,153
340,9,153
341,29,154
342,24,154
